GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,# Label Questions,# Input Questions,Time Per Round
(length (filter (curry le 5) (map (curry plus 1) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,2.9459791249828413,105.59103662503185,2185,61,100,445,7.330357142857143,2.5057471264367814,3,3,3,"[44.78343545901589, 43.365334458998404, 14.955454458016902]"
(fold max 0  (map (curry plus (apply pred_int input-img)) (filter (curry le 8) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,12.43060558300931,242.60405270801857,1348,4,100,293,7.330357142857143,2.5057471264367814,160,155,58,"[48.30894824996358, 49.305074666976, 44.10218479199102, 10.2232420410146, 2.434660041006282, 1.7691871669958346, 1.400968957983423, 1.535169249982573, 1.0309374999487773, 1.086512582958676, 1.0903784169931896, 1.0010485000093468, 1.025288124976214, 0.9852827079594135, 1.0281820840318687, 0.9713564169942401, 0.993312791979406, 1.0043713750201277, 0.999576625006739, 1.0129783329903148, 0.9911532499827445, 1.048789166030474, 1.0070597499725409, 0.9309184169978835, 0.9165963749983348, 1.202003957994748, 0.9988471250399016, 0.9875038749887608, 0.847693249990698, 0.8658612499712035, 1.159275499987416, 0.8894443749450147, 0.7368041669833474, 0.7498630000045523, 0.7579918329720385, 0.8726882089977153, 0.8509586249710992, 0.8665523329982534, 0.9868037080159411, 0.8457555409986526, 0.8429594590561464, 0.8310663329903036, 0.8361795829841867, 0.8316953330067918, 0.8073973330319859, 0.8262039159890264, 0.8221498330240138, 0.8557143330108374, 1.0747015420347452, 0.8189277920173481, 0.7731036250479519, 0.7866491250460967, 0.8768503339961171, 0.7207803339697421, 0.7190317499917, 0.7579056670074351, 0.6174078329931945, 0.5736256670206785, 0.5854506670148112, 0.600473582977429, 0.5414870000095107, 0.7926511670229957, 0.5630179170402698, 0.5398980839527212, 0.5555234579951502, 0.5574670000351034, 0.5586952500161715, 0.5447383749997243, 0.5302541250130162, 0.5283145409775898, 0.5451954999589361, 0.5038942500250414, 0.5268204580061138, 0.5075304580386728, 0.524846707994584, 0.5135567500256002, 0.5190808330080472, 0.5155544580193236, 0.5148635000223294, 0.49520283401943743, 0.4907826249836944, 0.5597682920051739, 0.5540081670042127, 0.5248086249921471, 0.9999681250192225, 0.7276729170116596, 0.44532950001303107, 0.41622237500268966, 0.41329150000819936, 0.38390912499744445, 0.35123016696888953, 0.36020237498451024, 0.3943970419932157, 0.38989450002554804, 0.4177804999635555, 0.40194445801898837, 0.5092681249952875, 0.5127638750127517, 0.4225638330099173, 0.40628408396150917, 0.3853465410065837, 0.41342724999412894, 0.8359584999852814, 0.3363052920321934, 0.3640602920204401, 0.37907375005306676, 0.33905345801031217, 0.38411116698989645, 0.3953610829776153, 0.3635789999971166, 0.3374232500209473, 0.3419475410482846, 0.36572533403523266, 0.34339187503792346, 0.32852237502811477, 0.4483073329902254, 0.3581861660350114, 0.4121541670174338, 0.34127458301372826, 0.45817325002280995, 0.32718420802848414, 0.3136756250169128, 0.3132520830258727, 0.3154145829612389, 0.30251008400227875, 0.3128692079917528, 0.26630579197080806, 0.2614839999587275, 0.2609628749778494, 0.26084266701946035, 0.2583826250047423, 0.26119391701649874, 0.2394347499939613, 0.18798704101936892, 0.17523624998284504, 0.16371133300708607, 0.187434374995064, 0.18177370802732185, 0.18112608301453292, 0.18143241602228954, 0.18130149994976819, 0.1806160410051234, 0.18413779203547165, 0.15824174997396767, 0.17077479098225012, 0.17040025000460446, 0.17054116702638566, 0.17031412501819432, 0.1731468749931082, 0.17022141598863527, 0.1693819999927655, 0.16946300002746284, 0.16948687500553206, 0.18715754098957404, 0.6027667080052197, 0.17605433298740536, 0.14269574999343604, 0.13614120899001136, 0.13553529197815806, 0.1276546249864623]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 6) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,4.45961304102093,55.153808083967306,657,1,100,445,7.330357142857143,2.5057471264367814,3,3,2,"[51.74997354199877, 2.8028043329832144, 0.5481528340023942]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry mult 2)  (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,3.793438583961688,102.38391970901284,3720,1,100,444,7.330357142857143,2.5057471264367814,4,4,4,"[45.135770291031804, 42.38878354203189, 14.099099999992177, 0.7119423750555143]"
(fold max 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 2)  (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,3.7581559999962337,12.05729899997823,41,1,100,445,7.330357142857143,2.5057471264367814,3,3,1,"[9.247600291972049, 1.402862791030202, 1.3590887080063112]"
(fold plus 0 (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,3.9596109999693,69.72493095800746,147,7,100,445,7.330357142857143,2.5057471264367814,3,3,2,"[34.15072325000074, 33.005292832967825, 2.2287675829720683]"
(fold mult 1 (filter (curry le (apply pred_int input-img)) (map (curry mult 3) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,3.3661577079910785,10.387315959029365,41,1,100,447,7.330357142857143,2.5057471264367814,2,1,2,"[9.740563291008584, 0.5969222499988973]"
(length (filter (curry le 8) (filter (curry ge 8) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,4.991823541000485,131.03345475002425,767,2,100,444,7.330357142857143,2.5057471264367814,4,4,3,"[43.686270916019566, 43.309963750012685, 30.429333708016202, 13.477485832991078]"
(fold plus (apply pred_int input-img) (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,44.89360004197806,107.83343645796413,550,7,100,444,7.330357142857143,2.5057471264367814,4,4,3,"[47.114263500028756, 48.40636895794887, 8.804968249984086, 3.140201125002932]"
(fold plus 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,4.144594540994149,63.993781041004695,223,13,100,446,7.330357142857143,2.5057471264367814,2,2,1,"[49.0969444999937, 14.319542500015814]"
