GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,# Label Questions,# Input Questions,Time Per Round
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",wedding,CCE,SmartLabel,True,3.1970289169985335,0.20875504199648276,1,1,336,1351,9.659511472982976,1.1332020997375327,0,0,0,[]
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",wedding,CCE,SmartLabel,TIMEOUT,3.262577291985508,1200.0058687079872,1325,7,336,1339,9.659511472982976,1.1332020997375327,12,12,4,"[120.8008279579808, 104.25229254201986, 95.24350329101435, 92.61935100000119, 95.44438604198513, 90.68220637500053, 93.5829372080043, 92.25246733301901, 97.6928106250125, 102.58456366698374, 94.26361762499437, 98.8811469579814]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",wedding,CCE,SmartLabel,True,2.4082064169924706,0.09682695899391547,1,1,336,1351,9.659511472982976,1.1332020997375327,0,0,0,[]
"Map(IsObject(Face), IsObject(Face), GetAbove)",wedding,CCE,SmartLabel,True,3.206579582998529,0.12099150000722148,1,1,336,1351,9.659511472982976,1.1332020997375327,0,0,0,[]
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",wedding,CCE,SmartLabel,True,3.384112790983636,0.20949420798569918,1,1,336,1351,9.659511472982976,1.1332020997375327,0,0,0,[]
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",wedding,CCE,SmartLabel,True,2.956133833009517,118.79849108299823,43,1,336,1349,9.659511472982976,1.1332020997375327,2,2,1,"[107.96071700000903, 10.576665000000503]"
"Intersection[Smile, EyesOpen]",wedding,CCE,SmartLabel,True,2.654209959000582,267.32424954199814,173,1,336,1348,9.659511472982976,1.1332020997375327,3,3,3,"[95.13285262498539, 87.49218033300713, 84.58173729100963]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",wedding,CCE,SmartLabel,True,1.9684156670118682,124.21706599998288,719,1,336,1349,9.659511472982976,1.1332020997375327,2,2,1,"[119.53505012500682, 4.5023862090019975]"
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",wedding,CCE,SmartLabel,True,1.9833569999900647,98.51874554200913,136,1,336,1349,9.659511472982976,1.1332020997375327,2,2,2,"[87.21457020798698, 11.112712999980431]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",wedding,CCE,SmartLabel,True,3.538993082998786,0.13595783300115727,1,1,336,1351,9.659511472982976,1.1332020997375327,0,0,0,[]
"Intersection[IsObject(Face), Complement(Smile)]",wedding,CCE,SmartLabel,True,2.8717975420004223,92.34401895900373,31,5,336,1349,9.659511472982976,1.1332020997375327,2,2,2,"[72.8615172090067, 18.332215083006304]"
"Union[IsObject(Glasses), Intersection[Smile, EyesOpen]]",wedding,CCE,SmartLabel,True,3.7903102500131354,166.6533529580047,119,1,336,1349,9.659511472982976,1.1332020997375327,2,2,2,"[83.08807429199805, 83.41895154101076]"
"Map(Map(IsObject(Face), IsObject(Face), GetRight), IsObject(Face), GetRight)",wedding,CCE,SmartLabel,True,2.500139832991408,9.715136207989417,4,1,336,1350,9.659511472982976,1.1332020997375327,1,1,1,[9.547237582999514]
"Union[EyesOpen, Intersection[IsObject(Face), Complement(MouthOpen)]]",wedding,CCE,SmartLabel,True,2.7100492079916876,192.64358670799993,190,1,336,1348,9.659511472982976,1.1332020997375327,3,3,3,"[97.92050937499152, 50.623816500010435, 43.92143149999902]"
