GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,# Label Questions,# Input Questions,Time Per Round
"Map(IsObject(Car), IsObject(Bicycle), GetAround)",cars,CCE,SmartLabel,True,1.2147699579945765,77.9187119579874,18,8,116,612,15.217532467532468,1.1502403846153846,4,4,2,"[21.195499083027244, 21.27848208299838, 21.374328665959183, 13.160869167011697]"
"Map(IsObject(Guitar), IsObject(Microphone), GetAround)",festival,CCE,SmartLabel,True,1.4498195420019329,80.42188862501644,12,1,338,1519,13.528524590163935,1.1565137130801688,6,6,2,"[29.666674082982354, 11.586769207962789, 11.526625790982507, 11.499342166993301, 11.579996958025731, 4.498400499986019]"
"Union[IsObject(Face), IsObject(Person)]",festival,CCE,SmartLabel,True,1.7148057500016876,631.9840952919913,3639,2,338,1520,13.528524590163935,1.1565137130801688,5,5,3,"[176.30129695800133, 176.11738662503194, 131.9825829170295, 140.76104962499812, 6.628960541973356]"
"Map(IsObject(Suit), IsObject(Bride), GetLeft)",wedding,CCE,SmartLabel,True,1.6616817499743775,85.1170222920482,1761,1,336,1349,9.659511472982976,1.1332020997375327,2,2,1,"[82.65298270899802, 2.4173477080184966]"
"Map(Map(IsObject(Bride), IsObject(Face), GetAbove), IsObject(Suit), GetNotAround)",wedding,CCE,SmartLabel,True,1.8740710419951938,539.0631765840226,630,1,336,1346,9.659511472982976,1.1332020997375327,5,5,1,"[113.4106950420537, 106.09645658300724, 106.12530254200101, 106.28775883401977, 107.03688691696152]"
"Map(IsObject(Face), IsObject(Glasses), GetContains)",wedding,CCE,SmartLabel,True,1.956682667019777,302.55415849998826,1609,1,336,1345,9.659511472982976,1.1332020997375327,7,6,5,"[82.38400908303447, 96.24367379199248, 49.05814895796357, 30.131661124993116, 16.581767875002697, 15.036164042016026, 13.014292832987849]"
"Intersection[IsObject(Person), Complement(Map(IsObject(Glasses), IsObject(Person), GetIsContained))]",wedding,CCE,SmartLabel,True,1.3136151249636896,471.39583183301147,1896,1,336,1346,9.659511472982976,1.1332020997375327,5,5,1,"[94.56801024999004, 89.72560854197945, 94.88163166597951, 95.72926029196242, 96.36774487496587]"
"Map(MouthOpen, MouthOpen, GetRight)",wedding,CCE,SmartLabel,True,1.3249817919568159,262.7134744170471,580,1,336,1345,9.659511472982976,1.1332020997375327,6,6,2,"[108.0957052919548, 76.52668799995445, 47.07481762499083, 18.431486541987397, 8.196059542009607, 4.270887165970635]"
"Intersection[Smile, Map(Intersection[MouthOpen, Smile], MouthOpen, GetRight)]",wedding,CCE,SmartLabel,True,25.242881374957506,202.32820566702867,97,1,336,1347,9.659511472982976,1.1332020997375327,4,4,4,"[105.8375407080166, 58.36902729200665, 18.970669125032146, 18.889733290998265]"
"Map(IsObject(Tie), IsObject(Face), GetAbove)",wedding,CCE,SmartLabel,True,5.169651333009824,216.15468995901756,95,1,336,1345,9.659511472982976,1.1332020997375327,6,6,4,"[114.32691062503727, 56.54456695803674, 17.23467758402694, 11.87639141594991, 11.619043666985817, 4.504143833008129]"
"Union[IsObject(Suit), IsObject(Tie), IsObject(Wedding Gown)]",wedding,CCE,SmartLabel,True,5.479144458018709,393.8670039169956,225,1,336,1342,9.659511472982976,1.1332020997375327,10,9,3,"[82.36843904200941, 73.45314349996625, 73.30471158301225, 78.1495437080157, 76.23923979199026, 2.066217291983776, 2.040691083006095, 2.05240554100601, 2.062079166993499, 2.0735438750125468]"
